Region,Soil_Type,Start_Season,Number_of_Seasons,Crop1,Crop2,Crop3,Yield_t_per_ha,Carbon_Sequestration_kg_CO2
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,3.67,203.98
Maharashtra,Black,Zaid,3,Bottle Gourd,Maize,Mustard,2.71,220.88
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.96,192.67
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Soybean,3.47,253.19
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,3.02,286.79
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Okra,2.36,264.07
West Bengal,Laterite,Kharif,2,Rice,Mustard,,3.06,202.46
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,3.18,207.76
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.68,191.85
West Bengal,Laterite,Kharif,3,Cotton,Chickpea,Bottle Gourd,3.05,260.85
Maharashtra,Black,Kharif,2,Rice,Mustard,,2.52,191.61
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.96,196.59
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Cucumber,2.59,205.67
West Bengal,Laterite,Zaid,3,Bottle Gourd,Soybean,Mustard,2.38,249.48
Tamil Nadu,Red,Kharif,3,Cotton,Peas,Bottle Gourd,2.57,283.36
Maharashtra,Black,Zaid,2,Watermelon,Rice,,3.38,175.11
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.87,237.86
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.34,211.88
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.73,236.88
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Maize,2.78,278.59
Punjab,Alluvial,Rabi,2,Wheat,Bottle Gourd,,4.16,171.13
Maharashtra,Black,Zaid,2,Watermelon,Maize,,3.77,186.98
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.08,244.43
Punjab,Alluvial,Kharif,3,Cotton,Barley,Watermelon,2.57,204.39
Maharashtra,Black,Kharif,2,Soybean,Mustard,,2,256.31
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Rice,Mustard,3.36,202.56
Maharashtra,Black,Rabi,3,Barley,Watermelon,Soybean,3.31,279.72
West Bengal,Laterite,Kharif,3,Maize,Mustard,Okra,2.48,235.99
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,2.85,191.36
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Rice,Mustard,3.21,208.61
Punjab,Alluvial,Kharif,2,Groundnut,Mustard,,2.32,220.59
Maharashtra,Black,Rabi,3,Peas,Watermelon,Maize,2.85,263.97
West Bengal,Laterite,Zaid,3,Watermelon,Rice,Mustard,3.29,201.01
Tamil Nadu,Red,Rabi,3,Peas,Watermelon,Rice,3.57,256.64
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.58,226.45
Rajasthan,Arid Sandy,Rabi,3,Barley,Watermelon,Groundnut,2.83,286.43
Maharashtra,Black,Zaid,2,Watermelon,Soybean,,2.81,229.76
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.35,176.93
Rajasthan,Arid Sandy,Rabi,3,Wheat,Watermelon,Soybean,3.31,242.87
West Bengal,Laterite,Rabi,2,Chickpea,Bottle Gourd,,2.96,218.95
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.73,175.57
West Bengal,Laterite,Zaid,3,Bottle Gourd,Rice,Mustard,3.47,191.28
West Bengal,Laterite,Kharif,3,Groundnut,Mustard,Cucumber,2.88,241.2
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,3.14,178.86
Tamil Nadu,Red,Zaid,2,Watermelon,Rice,,4.27,175.46
West Bengal,Laterite,Rabi,2,Barley,Bottle Gourd,,3.1,169.04
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Cucumber,2.87,235.66
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.63,210.64
West Bengal,Laterite,Zaid,2,Watermelon,Rice,,4.15,168.84
Maharashtra,Black,Rabi,3,Peas,Watermelon,Maize,2.96,254.91
Rajasthan,Arid Sandy,Kharif,2,Soybean,Mustard,,1.88,229.31
Tamil Nadu,Red,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.44,256.2
Punjab,Alluvial,Kharif,3,Cotton,Wheat,Bottle Gourd,2.73,202.38
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Cucumber,2.92,272.27
Maharashtra,Black,Rabi,3,Chickpea,Bottle Gourd,Rice,3.15,286.52
Punjab,Alluvial,Kharif,3,Maize,Mustard,Cucumber,2.42,219
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.61,191.86
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.96,168.4
Punjab,Alluvial,Kharif,2,Rice,Mustard,,2.55,165.62
West Bengal,Laterite,Rabi,2,Mustard,Okra,,2.46,191.78
Rajasthan,Arid Sandy,Zaid,2,Bottle Gourd,Rice,,4.18,191.94
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Soybean,3.22,252.86
Maharashtra,Black,Zaid,3,Bottle Gourd,Soybean,Mustard,2.5,270.94
Punjab,Alluvial,Rabi,2,Chickpea,Watermelon,,3.01,236.65
Maharashtra,Black,Kharif,3,Rice,Mustard,Okra,3.02,233.05
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,2.53,165.66
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.13,274.16
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.77,244.41
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.71,248.37
Rajasthan,Arid Sandy,Rabi,2,Wheat,Bottle Gourd,,3.46,165.65
Maharashtra,Black,Rabi,2,Barley,Bottle Gourd,,3.63,197.7
Rajasthan,Arid Sandy,Rabi,2,Wheat,Bottle Gourd,,3.45,174.94
Punjab,Alluvial,Rabi,2,Barley,Bottle Gourd,,3.06,198.97
Punjab,Alluvial,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.67,256
West Bengal,Laterite,Rabi,3,Peas,Watermelon,Rice,3.12,262.6
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.46,229.64
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Cucumber,2.5,285.14
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Okra,2.35,241.29
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.5,163.16
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,3.08,213.65
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,2.45,175.74
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Wheat,3.26,203.58
Tamil Nadu,Red,Rabi,3,Chickpea,Watermelon,Rice,3.27,279.27
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Cucumber,2.54,252.32
West Bengal,Laterite,Kharif,2,Rice,Mustard,,3.38,173.72
Tamil Nadu,Red,Zaid,3,Watermelon,Groundnut,Mustard,2.98,256.92
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Rice,Mustard,2.53,211.11
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Okra,2.48,252.58
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.66,276.43
West Bengal,Laterite,Rabi,3,Mustard,Cucumber,Cotton,2.31,220.38
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2.55,270.62
West Bengal,Laterite,Zaid,3,Watermelon,Maize,Mustard,3.04,196.77
Rajasthan,Arid Sandy,Kharif,2,Cotton,Chickpea,,2.17,245.51
West Bengal,Laterite,Kharif,3,Soybean,Mustard,Okra,2.16,288.67
Maharashtra,Black,Kharif,3,Rice,Mustard,Okra,2.5,202.29
Punjab,Alluvial,Kharif,3,Maize,Mustard,Cucumber,3.05,239.25
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,3.06,230.98
Maharashtra,Black,Kharif,3,Soybean,Mustard,Cucumber,2.65,245.86
Tamil Nadu,Red,Kharif,3,Cotton,Barley,Bottle Gourd,2.52,218.79
Tamil Nadu,Red,Zaid,3,Watermelon,Soybean,Mustard,2.71,275.93
Maharashtra,Black,Zaid,3,Watermelon,Maize,Mustard,3.17,196.15
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Bottle Gourd,Maize,2.98,283.92
Rajasthan,Arid Sandy,Kharif,3,Soybean,Mustard,Cucumber,2.72,284.11
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,3.13,175.8
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.39,284.88
Punjab,Alluvial,Rabi,3,Chickpea,Bottle Gourd,Maize,2.67,276.21
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Okra,2.46,288.92
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.98,160.66
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Rice,Mustard,3.39,227.5
Punjab,Alluvial,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.3,261.89
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Rice,,4.14,166.94
Maharashtra,Black,Kharif,3,Rice,Mustard,Cucumber,3.49,198.25
Maharashtra,Black,Kharif,2,Rice,Mustard,,2.87,195.1
West Bengal,Laterite,Rabi,2,Barley,Bottle Gourd,,3.54,198.14
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Wheat,3.27,203.91
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.27,282.2
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Okra,2.57,269.95
West Bengal,Laterite,Rabi,3,Barley,Watermelon,Groundnut,3.2,278.24
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.57,183.46
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3.28,245.99
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Cucumber,2.66,278.59
Tamil Nadu,Red,Rabi,2,Mustard,Cucumber,,3.04,190.95
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,2.86,233.4
Rajasthan,Arid Sandy,Kharif,3,Cotton,Wheat,Bottle Gourd,2.59,209.47
Maharashtra,Black,Rabi,3,Barley,Bottle Gourd,Soybean,2.67,269.12
Tamil Nadu,Red,Rabi,3,Mustard,Cucumber,Cotton,2.7,212.66
West Bengal,Laterite,Rabi,2,Peas,Watermelon,,3.73,248.67
Tamil Nadu,Red,Rabi,2,Peas,Watermelon,,3.38,246.34
Maharashtra,Black,Rabi,2,Mustard,Okra,,2.93,197.22
Tamil Nadu,Red,Rabi,3,Chickpea,Bottle Gourd,Rice,3.68,282.61
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.66,199.33
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Bottle Gourd,Rice,3.02,253.46
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.17,245.72
Maharashtra,Black,Rabi,2,Peas,Watermelon,,2.81,251.86
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.5,168.05
Tamil Nadu,Red,Rabi,2,Barley,Bottle Gourd,,3.61,161.09
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,2.53,186.36
Rajasthan,Arid Sandy,Kharif,2,Soybean,Mustard,,2.34,219.43
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,3.36,184.05
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.33,174.59
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Maize,Mustard,2.99,213.56
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,2,230.66
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.59,207.43
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,2.84,196.1
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.79,221.75
Maharashtra,Black,Kharif,2,Maize,Mustard,,2.58,175.57
West Bengal,Laterite,Rabi,3,Wheat,Watermelon,Soybean,2.73,280.01
Rajasthan,Arid Sandy,Kharif,3,Soybean,Mustard,Okra,2.58,254.85
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,3.67,204.57
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.19,201.25
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.7,207.89
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3.54,237.31
West Bengal,Laterite,Rabi,2,Chickpea,Watermelon,,3.14,214.13
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,3.28,209.99
Tamil Nadu,Red,Rabi,3,Barley,Bottle Gourd,Soybean,2.53,288.43
Maharashtra,Black,Rabi,2,Chickpea,Watermelon,,3.03,222.78
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Okra,2.15,286.94
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3,227.19
Punjab,Alluvial,Zaid,2,Bottle Gourd,Rice,,4.08,163.84
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Maize,,3.51,162.14
Maharashtra,Black,Kharif,3,Rice,Mustard,Cucumber,2.95,230.09
Punjab,Alluvial,Rabi,3,Barley,Watermelon,Groundnut,3.12,248.96
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Rice,3.64,284.23
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.05,176.26
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.74,242.16
Maharashtra,Black,Rabi,2,Peas,Watermelon,,2.41,238.43
Tamil Nadu,Red,Rabi,2,Peas,Bottle Gourd,,2.62,220.35
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.23,163.73
Maharashtra,Black,Rabi,3,Chickpea,Watermelon,Rice,2.88,275.45
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Maize,3.19,281.36
West Bengal,Laterite,Rabi,2,Wheat,Watermelon,,3.29,168.1
Punjab,Alluvial,Rabi,2,Peas,Bottle Gourd,,2.66,238.17
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.92,248.31
West Bengal,Laterite,Kharif,3,Maize,Mustard,Okra,2.62,230.62
Punjab,Alluvial,Rabi,2,Mustard,Okra,,2,180.86
Maharashtra,Black,Zaid,3,Watermelon,Groundnut,Mustard,2.68,270.4
Tamil Nadu,Red,Kharif,2,Cotton,Wheat,,2.77,170.85
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.55,186.19
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.42,210.66
Punjab,Alluvial,Zaid,2,Bottle Gourd,Maize,,3.94,194.34
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Maize,Mustard,3.01,223.23
Punjab,Alluvial,Zaid,2,Bottle Gourd,Maize,,3.3,184.22
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.63,242.55
Maharashtra,Black,Kharif,3,Cotton,Peas,Watermelon,2.62,270.56
Maharashtra,Black,Zaid,3,Bottle Gourd,Maize,Mustard,2.77,223.31
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,2.96,281.42
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2.3,278.64
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Okra,2.52,287.81
Maharashtra,Black,Zaid,2,Bottle Gourd,Rice,,3.54,183.34
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Bottle Gourd,Rice,3.18,262.02
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.13,176.39
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Rice,3.53,282.92
Rajasthan,Arid Sandy,Rabi,3,Peas,Bottle Gourd,Rice,3.29,271.27
Punjab,Alluvial,Zaid,2,Bottle Gourd,Soybean,,3.2,247.24
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.63,197.83
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,1.99,211.53
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Okra,2.5,236.8
Maharashtra,Black,Kharif,2,Rice,Mustard,,3.08,187.53
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.46,181.35
Rajasthan,Arid Sandy,Rabi,2,Peas,Bottle Gourd,,2.78,232.19
Tamil Nadu,Red,Rabi,2,Peas,Watermelon,,2.4,242.03
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.07,200.28
Maharashtra,Black,Zaid,3,Watermelon,Groundnut,Mustard,2.58,270.05
Punjab,Alluvial,Rabi,3,Chickpea,Bottle Gourd,Maize,3.02,266.63
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.82,168.04
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,2.16,216.39
Tamil Nadu,Red,Rabi,2,Wheat,Watermelon,,3.39,202.47
Tamil Nadu,Red,Rabi,2,Barley,Watermelon,,2.9,161.28
West Bengal,Laterite,Zaid,2,Bottle Gourd,Groundnut,,2.96,226.01
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.74,197.66
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.83,175.9
West Bengal,Laterite,Rabi,3,Wheat,Bottle Gourd,Soybean,3.13,246.29
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Rice,,4.4,162.09
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Soybean,Mustard,2.66,255.68
Maharashtra,Black,Kharif,3,Soybean,Mustard,Cucumber,2.7,281.57
West Bengal,Laterite,Zaid,3,Bottle Gourd,Maize,Mustard,2.48,238.69
West Bengal,Laterite,Kharif,3,Cotton,Peas,Bottle Gourd,2.16,251.94
West Bengal,Laterite,Zaid,2,Watermelon,Rice,,3.9,172.12
Maharashtra,Black,Kharif,3,Rice,Mustard,Cucumber,2.9,201.16
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.44,262.62
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.23,161.67
Punjab,Alluvial,Kharif,3,Rice,Mustard,Cucumber,3.22,222.17
Rajasthan,Arid Sandy,Rabi,3,Peas,Bottle Gourd,Rice,3.32,263.83
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Soybean,Mustard,2.22,262.17
Tamil Nadu,Red,Rabi,2,Barley,Bottle Gourd,,3.51,207.41
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.38,215.15
Punjab,Alluvial,Rabi,3,Peas,Bottle Gourd,Rice,3.05,261.39
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,3.68,202.32
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.44,221.17
Rajasthan,Arid Sandy,Rabi,2,Mustard,Cucumber,,3.23,162.58
Tamil Nadu,Red,Zaid,3,Watermelon,Maize,Mustard,3.36,202.21
West Bengal,Laterite,Rabi,2,Barley,Watermelon,,3.15,175.84
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.88,196.95
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,3.23,229.48
Maharashtra,Black,Zaid,3,Watermelon,Soybean,Mustard,2.85,289.88
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.08,238.01
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Rice,,4.36,205.9
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,1.96,258.15
Maharashtra,Black,Kharif,2,Soybean,Mustard,,1.85,222.54
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Peas,2.61,255.91
West Bengal,Laterite,Kharif,2,Cotton,Wheat,,2.14,180.12
Punjab,Alluvial,Kharif,2,Groundnut,Mustard,,1.89,243.39
West Bengal,Laterite,Kharif,3,Soybean,Mustard,Cucumber,2.69,269.21
Rajasthan,Arid Sandy,Zaid,2,Bottle Gourd,Maize,,3.27,178.33
West Bengal,Laterite,Rabi,2,Chickpea,Watermelon,,3.11,224.61
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Rice,3.36,267.22
Maharashtra,Black,Zaid,3,Watermelon,Groundnut,Mustard,2.47,240.82
West Bengal,Laterite,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.11,265.71
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.86,250.5
Rajasthan,Arid Sandy,Rabi,2,Wheat,Watermelon,,3.45,202.66
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.62,218.95
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Peas,2.5,256.56
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.97,191.69
West Bengal,Laterite,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.51,276.99
Punjab,Alluvial,Kharif,3,Rice,Mustard,Cucumber,3.22,220.62
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.91,258.22
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Watermelon,Maize,3.47,281.39
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Groundnut,2.88,249.75
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.88,263.2
Maharashtra,Black,Zaid,3,Bottle Gourd,Maize,Mustard,2.77,236.51
Punjab,Alluvial,Rabi,3,Peas,Bottle Gourd,Maize,2.71,249.96
Punjab,Alluvial,Rabi,2,Barley,Watermelon,,3.18,172.77
Punjab,Alluvial,Kharif,2,Cotton,Barley,,2.24,169
West Bengal,Laterite,Kharif,3,Maize,Mustard,Cucumber,3.09,217.38
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.19,242.85
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,2.87,171.93
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,3.1,172.53
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.01,212.36
Maharashtra,Black,Rabi,3,Barley,Watermelon,Soybean,2.93,276.57
Maharashtra,Black,Kharif,3,Cotton,Wheat,Watermelon,3.55,219.54
Punjab,Alluvial,Zaid,3,Bottle Gourd,Soybean,Mustard,2.67,282.75
Punjab,Alluvial,Rabi,2,Barley,Bottle Gourd,,3.69,183.33
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.96,233.53
Maharashtra,Black,Zaid,2,Bottle Gourd,Groundnut,,3.09,252.71
Punjab,Alluvial,Kharif,2,Cotton,Peas,,1.94,235.21
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Barley,2.95,210.24
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,2.31,174.61
Rajasthan,Arid Sandy,Rabi,2,Mustard,Okra,,2.56,169.65
Tamil Nadu,Red,Kharif,3,Rice,Mustard,Okra,2.79,190.91
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,2.64,254.48
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.46,163.47
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Okra,2.62,247.84
West Bengal,Laterite,Kharif,2,Rice,Mustard,,3.27,177.89
West Bengal,Laterite,Rabi,2,Peas,Bottle Gourd,,2.97,227.29
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Rice,,3.86,184.44
Tamil Nadu,Red,Rabi,3,Barley,Watermelon,Soybean,3.22,241.85
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3.47,228.23
Rajasthan,Arid Sandy,Rabi,3,Peas,Bottle Gourd,Maize,3.2,278.67
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.69,286.13
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.2,204.18
Punjab,Alluvial,Rabi,2,Wheat,Watermelon,,4.18,193.87
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Soybean,,2.97,230.51
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.64,209.84
Rajasthan,Arid Sandy,Rabi,2,Mustard,Cucumber,,2.76,167.99
Punjab,Alluvial,Zaid,2,Bottle Gourd,Maize,,4.09,191.19
Tamil Nadu,Red,Zaid,2,Watermelon,Rice,,4.02,195.95
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Chickpea,2.78,250.73
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.01,234.7
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Cucumber,2.65,277.49
Punjab,Alluvial,Kharif,2,Cotton,Wheat,,2.63,162.26
Maharashtra,Black,Kharif,2,Soybean,Mustard,,2,248.44
West Bengal,Laterite,Rabi,2,Chickpea,Watermelon,,2.79,246.65
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Chickpea,3.02,269.43
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,3.37,189.83
Maharashtra,Black,Rabi,3,Barley,Watermelon,Groundnut,3.18,263.07
West Bengal,Laterite,Zaid,2,Watermelon,Rice,,4.89,176.13
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.39,184.78
Rajasthan,Arid Sandy,Kharif,2,Soybean,Mustard,,2.2,222.86
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.29,259.84
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,3.01,218.78
Rajasthan,Arid Sandy,Kharif,3,Soybean,Mustard,Cucumber,2.73,248.92
Rajasthan,Arid Sandy,Kharif,2,Cotton,Barley,,2.41,184.35
Rajasthan,Arid Sandy,Kharif,2,Cotton,Peas,,1.65,242.02
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,3.42,184.12
Tamil Nadu,Red,Rabi,2,Barley,Watermelon,,4.14,185.62
Punjab,Alluvial,Zaid,2,Watermelon,Rice,,4.31,176.01
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.48,241.19
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.62,200.78
Rajasthan,Arid Sandy,Rabi,3,Peas,Watermelon,Maize,2.48,271.75
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.55,218.33
West Bengal,Laterite,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.67,288.35
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.33,245.51
Punjab,Alluvial,Kharif,3,Rice,Mustard,Cucumber,3.63,197.82
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Cucumber,2.35,286.42
Rajasthan,Arid Sandy,Kharif,3,Soybean,Mustard,Okra,2.26,243.15
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Soybean,2.87,250.89
Maharashtra,Black,Rabi,2,Barley,Watermelon,,3.32,192.32
Punjab,Alluvial,Zaid,3,Watermelon,Maize,Mustard,2.72,209.84
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Cucumber,2.7,223.76
Tamil Nadu,Red,Rabi,2,Chickpea,Bottle Gourd,,2.75,223.49
Punjab,Alluvial,Kharif,3,Rice,Mustard,Okra,3.29,222.91
Maharashtra,Black,Rabi,3,Chickpea,Bottle Gourd,Rice,3.4,286.3
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.98,239.64
Punjab,Alluvial,Rabi,2,Chickpea,Bottle Gourd,,2.69,224.13
Punjab,Alluvial,Rabi,2,Chickpea,Bottle Gourd,,3.54,226.96
Maharashtra,Black,Rabi,3,Chickpea,Bottle Gourd,Rice,3.84,244.86
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Rice,Mustard,3.57,234
Rajasthan,Arid Sandy,Rabi,3,Barley,Bottle Gourd,Soybean,2.93,268.3
Maharashtra,Black,Rabi,2,Wheat,Watermelon,,3.62,185.46
West Bengal,Laterite,Rabi,3,Chickpea,Bottle Gourd,Rice,3.35,252.23
